term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,wave,model
LN_WEALTH,0.9634950080698911,0.010671849428005632,0.009381303787388117,-3.9640515883439886,7.368831727087865e-5,0.9459410851436473,0.9813746808921273,W5,Adjusted
CHRONIC_N,0.9892635449242779,0.05067943797624117,0.05455067393104129,-0.19788035450260727,0.8431386750837726,0.8889521557832554,1.100894300046854,W5,Adjusted
HAS_INSHas insurance,0.4299354131181961,0.3831343238899114,0.3993855308850022,-2.1135474831954957,0.03455393537644728,0.19653759553258518,0.9405043292211615,W5,Adjusted
EMP_STATUSUnemployed/Not in labor force,4.281164361625868,0.5818347486728285,0.575313864837664,2.5277072370136366,0.011481004401495952,1.386289238546836,13.221171874974633,W5,Adjusted
EMP_STATUSRetired,4.103574590053297,0.5071961836601439,0.5092740239637935,2.7722962072803927,0.005566236064416239,1.5124028839011898,11.134152543199761,W5,Adjusted
EMP_STATUSDisabled,8.778979282938536,0.7258000542472152,0.7921971685010216,2.7421963022271423,0.0061029856724531505,1.858337418890404,41.472811377969286,W5,Adjusted
SMOKESTATUSEver/Current smoker,1.0720503050053871,0.1204181297858727,0.12024924211179196,0.5785731921197556,0.5628771977082889,0.8469520514009243,1.3569739332481996,W5,Adjusted
R_DEPRESYes,1.9580745595792926,0.15241902422043516,0.1552845625027053,4.327291857037481,1.5095388159597777e-5,1.4442778992828609,2.6546525310505658,W5,Adjusted
BMI_CV_W6,1.062918959465069,0.020746723150415463,0.019531878312284458,3.124065075045239,0.0017837100296929883,1.0229975385355063,1.1043982725585921,W6,Adjusted
BASELINE_AGE,1.135953932428042,0.01619769172490501,0.015881658906901627,8.02641385159003,1.0036325265307296e-15,1.101139208035802,1.1718693941527307,W6,Adjusted
RAGENDERFemale,0.926766168159805,0.14763496871465354,0.14679505959471725,-0.518096393896899,0.6043910161328382,0.6950531087064008,1.235726478576785,W6,Adjusted
RACE_ETH3Non-Hispanic Black,2.1052772195586087,0.19386561866899513,0.19582417351347375,3.801610091638184,1.4375883578880645e-4,1.4342453563749515,3.0902607782498044,W6,Adjusted
RACE_ETH3Hispanic or Other,1.2775554479651163,0.2518704025188587,0.25571977273600166,0.9578783956682733,0.33812408171292324,0.7739460589900251,2.1088652156911945,W6,Adjusted
RAEDUCGED,1.1614143890964115,0.30371630766629926,0.30678710220714134,0.4877602814564008,0.6257196477541858,0.6365749542337512,2.1189702394494123,W6,Adjusted
RAEDUCHigh school graduate,0.7665641266218647,0.21273034579398092,0.21388395613994196,-1.2429025877408104,0.21390373201102122,0.5040691724176671,1.1657538139163275,W6,Adjusted
RAEDUCCollege or above,0.7465666253426174,0.20583323945840962,0.2097121388191945,-1.3936742877145956,0.16341598410976893,0.4949499389805335,1.1260971710057837,W6,Adjusted
LN_WEALTH,0.9750748984560741,0.013576716462130494,0.011254899128922134,-2.242667101346404,0.02491828963591173,0.9538010340821818,0.9968232614824388,W6,Adjusted
CHRONIC_N,0.9544649433758793,0.06022139417345449,0.0653746000390796,-0.7128818256489414,0.4759188863085238,0.8396784770731663,1.084943050236286,W6,Adjusted
HAS_INSHas insurance,0.34412755303526305,0.45841899399566366,0.4574467914708785,-2.3319496748431923,0.01970333877739868,0.14039124698368532,0.8435267532868317,W6,Adjusted
EMP_STATUSUnemployed/Not in labor force,4.1691282179324,0.6699588443765907,0.662074707146481,2.156413676728462,0.03105137767615313,1.1389016948285184,15.261747503306067,W6,Adjusted
EMP_STATUSRetired,3.2846769529462465,0.5853186586358133,0.5837703980499768,2.037219274952438,0.04162807311846293,1.046131789650091,10.313330301170723,W6,Adjusted
EMP_STATUSDisabled,17.86762323577241,0.7766493129056977,0.8072664066395691,3.571299751332642,3.5521407892247627e-4,3.67214967960987,86.93871109563034,W6,Adjusted
SMOKESTATUSEver/Current smoker,1.1051659112671277,0.13989139488995306,0.13717557531379224,0.7289597248876285,0.4660262991661064,0.8446240029868662,1.4460774109043324,W6,Adjusted
R_DEPRESYes,1.9568304005226649,0.1823776935946062,0.18300603033761534,3.668327324662384,2.4414249666095605e-4,1.3670303962777621,2.8010973470934104,W6,Adjusted
BMI_CV_W7,1.0619458956085066,0.023416002943298122,0.02422633795493988,2.4808939708120747,0.013105334959100568,1.0127001970128908,1.1135863195506004,W7,Adjusted
BASELINE_AGE,1.122966865189696,0.018296860372196248,0.017673753878508867,6.561943235097426,5.311103554707937e-11,1.0847334066324377,1.1625479335322821,W7,Adjusted
RAGENDERFemale,1.0919966308616416,0.16938925136113497,0.166032220518696,0.5300645365789505,0.5960671860574862,0.7886683565039078,1.5119874304317518,W7,Adjusted
RACE_ETH3Non-Hispanic Black,2.387063749423074,0.21840350954169976,0.2225823703327484,3.9089531332669365,9.269694333118375e-5,1.5431266100343948,3.6925507646341096,W7,Adjusted
RACE_ETH3Hispanic or Other,1.413749471968919,0.2848449450954494,0.28499907402299834,1.2148999997220935,0.2244042339091601,0.8086876375941153,2.4715198756328083,W7,Adjusted
RAEDUCGED,1.4245991806628897,0.3410447075644416,0.3425421555018957,1.0331297673671012,0.30154317456840085,0.7279813927340599,2.7878223891455565,W7,Adjusted
RAEDUCHigh school graduate,0.80119718470236,0.2564647068080556,0.252380559585576,-0.8782300404273615,0.3798188927244388,0.48855413430252825,1.3139115682469944,W7,Adjusted
RAEDUCCollege or above,0.8242102137826761,0.24548955883704926,0.24446023442129206,-0.7908430107350618,0.42903560764633614,0.5104498297416911,1.330831037493832,W7,Adjusted
LN_WEALTH,0.9935889466614543,0.017526059188982795,0.013646205842201952,-0.47131726391549333,0.6374141890461229,0.9673665809863311,1.0205221209122664,W7,Adjusted
CHRONIC_N,0.9526401919974051,0.06856522265026298,0.07474568477926316,-0.6491077010742746,0.5162687644940059,0.8228207935903302,1.1029416641853789,W7,Adjusted
HAS_INSHas insurance,0.2896164480929346,0.5110045516171159,0.5122945476044197,-2.4189166759183633,0.015566805575345705,0.10611024406743054,0.7904768078062774,W7,Adjusted
EMP_STATUSUnemployed/Not in labor force,1.738912274154425,0.7670656488926524,0.7522220921820207,0.7355005838104973,0.46203468456230135,0.39809348231189134,7.595743290355774,W7,Adjusted
EMP_STATUSRetired,2.3728146105847734,0.5869011763690254,0.5828000225341057,1.4826300900854734,0.13817271803518355,0.7571527939909088,7.436080565096839,W7,Adjusted
EMP_STATUSDisabled,9.179066225005299,0.9302600724524184,0.9722759221157474,2.280140267410429,0.022599370663614643,1.3651982970737522,61.71649711520353,W7,Adjusted
SMOKESTATUSEver/Current smoker,1.067228413255034,0.157696697001315,0.15384367368117738,0.4229294476819591,0.6723467369513103,0.7894150587603656,1.442810690547778,W7,Adjusted
R_DEPRESYes,1.837837785572616,0.21375822714627468,0.21495698666694818,2.8312164844234355,0.004637132363404405,1.2059670931663113,2.800779345653883,W7,Adjusted
BMI_CV_W8,1.0755847617387566,0.028948170545300838,0.032049233310218285,2.2735170413431494,0.02299504036888068,1.0100997971917516,1.1453151291594625,W8,Adjusted
BASELINE_AGE,1.1179037849200621,0.023627412091221472,0.02177685311448666,5.118063222617094,3.0868913554837133e-7,1.0711935169391316,1.1666508922772099,W8,Adjusted
RAGENDERFemale,1.5440049750935252,0.22257892766457008,0.21878571266622615,1.9854115175742937,0.04709870559049492,1.0055830842976652,2.3707154588609582,W8,Adjusted
RACE_ETH3Non-Hispanic Black,1.3219455659945651,0.3461629772418908,0.37946595103967856,0.7355193906627631,0.46202323510350324,0.628364396046669,2.7810934076584766,W8,Adjusted
RACE_ETH3Hispanic or Other,1.3167324397094213,0.36515340312529926,0.36574039614314213,0.7523184370895947,0.45185958291041534,0.6429522871962432,2.696598724834982,W8,Adjusted
RAEDUCGED,2.270792534462781,0.4196904133612563,0.40674016021109116,2.0163460236115243,0.04376380547102315,1.0231978188698678,5.039591210492711,W8,Adjusted
RAEDUCHigh school graduate,0.8708334953390066,0.3515748180496648,0.33068809177304703,-0.4182324334705523,0.6757771845901028,0.45546279944429546,1.6650118901688704,W8,Adjusted
RAEDUCCollege or above,0.9193800226744105,0.33936141441376266,0.31919367639738333,-0.26333768716844047,0.7922903142945467,0.4918094991433092,1.7186728348378202,W8,Adjusted
LN_WEALTH,1.0045897617721131,0.02453086965077632,0.018678312736793826,0.2451645926865239,0.8063289908275066,0.9684779541044856,1.0420480767582572,W8,Adjusted
CHRONIC_N,1.0430006251776058,0.08397286945389072,0.08923009013395734,0.4718338327184866,0.6370453997825147,0.8756524725635813,1.242331105325449,W8,Adjusted
HAS_INSHas insurance,0.8134221339665657,1.007989672837739,1.0113517845853053,-0.20418718527407792,0.8382072250754539,0.11206030134555689,5.904460010208206,W8,Adjusted
EMP_STATUSUnemployed/Not in labor force,1.470674507932521,0.9191344093653162,0.8906292167562253,0.433088357341558,0.6649505806681125,0.25669156681682953,8.426001426941921,W8,Adjusted
EMP_STATUSRetired,1.5635077244843383,0.7198975636204117,0.7093015327219636,0.6301013289742842,0.5286282902494728,0.38935115911872853,6.27853891601425,W8,Adjusted
EMP_STATUSDisabled,12.734910669164085,1.0302364967517097,1.0608872270541947,2.398320037162921,0.016470467663523038,1.5920879599638884,101.86494328822617,W8,Adjusted
SMOKESTATUSEver/Current smoker,1.1050743485216719,0.19659790627278398,0.19012575229892714,0.525508066257109,0.5992300473962673,0.761300586252063,1.6040829835329558,W8,Adjusted
