term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,wave,model
EMP_STATUSUnemployed/Not in labor force,4.174131106170006,0.6701055333473488,0.662351045711392,2.1573246205505225,0.030980379957805424,1.1396509412610167,15.288339491228065,W6,Categorical
EMP_STATUSRetired,3.3118937627483884,0.5855085479851636,0.5843874199869862,2.0491888062380976,0.04044365622050676,1.0535251885261796,10.41136976618107,W6,Categorical
EMP_STATUSDisabled,17.050936010095143,0.7774268488698804,0.8202062307055908,3.4579170384204567,5.44368988150997e-4,3.4165471236259752,85.09597798604437,W6,Categorical
SMOKESTATUSEver/Current smoker,1.1039966957347542,0.13987319042043975,0.13673162288214097,0.7235850256953618,0.4693205372436431,0.8444649043177032,1.4432911278628073,W6,Categorical
R_DEPRESYes,1.9725858095376827,0.1823916029407554,0.18307458379770494,3.7107569037355903,2.0664046958483517e-4,1.3778518900559114,2.8240297843852726,W6,Categorical
BMIV_CAT_W7Medium variability,1.090277713927015,0.18005844518359337,0.1762803030254342,0.49031256314596905,0.6239127383596239,0.7717685358785239,1.5402357549246082,W7,Categorical
BMIV_CAT_W7High variability,1.6084413904059016,0.19714087992369975,0.19974683542786636,2.379339970981473,0.017343671881461558,1.087377708981305,2.3791950901720655,W7,Categorical
BASELINE_AGE,1.124622037418527,0.01844310707885096,0.01777155777279268,6.6087066744161715,3.876920159801532e-11,1.0861240041397733,1.16448464652903,W7,Categorical
RAGENDERFemale,1.0875870438484259,0.17042214944055203,0.16614287335285535,0.5053573433734957,0.613307873597503,0.7853133043823947,1.5062085047409202,W7,Categorical
RACE_ETH3Non-Hispanic Black,2.4229677349614533,0.2183540696342923,0.22180258012454557,3.9900037461054856,6.607225171417496e-5,1.5687326386969502,3.7423666084621816,W7,Categorical
RACE_ETH3Hispanic or Other,1.4082116666455786,0.2848687469012474,0.28417168089077716,1.204625938758492,0.22834773855097268,0.8068272628712605,2.457849640602862,W7,Categorical
RAEDUCGED,1.37512568389195,0.3406919399042714,0.3395542439024897,0.9381273806124709,0.3481789522545798,0.7068272710598188,2.6752938432383577,W7,Categorical
RAEDUCHigh school graduate,0.7741034158251251,0.25585623218835923,0.24975866407682815,-1.0251888681699322,0.30527407971176124,0.47446482774518045,1.2629726448636918,W7,Categorical
RAEDUCCollege or above,0.7930858084682392,0.24461941442001092,0.24131228574945426,-0.960679872063921,0.3367131546845211,0.4942137095602884,1.2726986067491752,W7,Categorical
LN_WEALTH,0.9930628914262184,0.017486432203988062,0.013638804943047018,-0.5104026490583037,0.6097694013742583,0.9668684339754722,1.0199670106851568,W7,Categorical
CHRONIC_N,0.955602972006953,0.06838823156545248,0.07426712859527375,-0.6114785141030755,0.5408828383005648,0.8261543564351448,1.1053346544692682,W7,Categorical
HAS_INSHas insurance,0.294793963581389,0.5125446345885081,0.5178611322231164,-2.358699116790547,0.018339118325999205,0.10683520591845655,0.8134348618221935,W7,Categorical
EMP_STATUSUnemployed/Not in labor force,1.71013714434509,0.7670210822163663,0.7536291740312533,0.7119861958100844,0.4764733241612197,0.3904277015466662,7.490680197340499,W7,Categorical
EMP_STATUSRetired,2.3731642016468064,0.5869709675795421,0.5833402136397046,1.4815096759283903,0.13847080844225412,0.7564630134642011,7.445054454396599,W7,Categorical
EMP_STATUSDisabled,9.075991624943835,0.9303882118993524,0.9686669407825415,2.2769773090075938,0.022787580669332792,1.3594501645104695,60.59333848822102,W7,Categorical
SMOKESTATUSEver/Current smoker,1.0627948616293987,0.15756570352289717,0.15345029097482818,0.39688487885254337,0.6914523553374493,0.7867419747607346,1.4357094881703345,W7,Categorical
R_DEPRESYes,1.8430902236318432,0.21360674989306386,0.2150437227188082,2.843345643964405,0.00446426274553822,1.2092080976779207,2.8092613496143506,W7,Categorical
BMIV_CAT_W8Medium variability,1.4948333485763463,0.22519111723467988,0.2262559327551984,1.776814084870473,0.07559883369939821,0.9594080959602358,2.329068046668418,W8,Categorical
BMIV_CAT_W8High variability,1.4532989889406058,0.26170232852111863,0.26724246596009305,1.398865017981627,0.1618534645270438,0.8607514678320035,2.4537604990387427,W8,Categorical
BASELINE_AGE,1.1166020641107472,0.023814476249739747,0.021952505135917243,5.024037201098872,5.059642992423176e-7,1.0695778982468458,1.1656936550577774,W8,Categorical
RAGENDERFemale,1.5669355136289222,0.22400172145990663,0.21942896100557444,2.0467754471030295,0.04068013746845509,1.0192315377951418,2.4089589193667886,W8,Categorical
RACE_ETH3Non-Hispanic Black,1.302280897363544,0.3468870886562435,0.38228515182602146,0.69089071924028,0.4896342188642387,0.6156061628725926,2.7549034397646093,W8,Categorical
RACE_ETH3Hispanic or Other,1.3324226217334536,0.3659408821845155,0.3654545328894335,0.7853201412196179,0.4322658896644881,0.6509783348861561,2.7272029617045943,W8,Categorical
RAEDUCGED,2.2805970344150914,0.4204508936391115,0.4079469896660259,2.020942148788206,0.04328575407246663,1.025187844309102,5.073336425372919,W8,Categorical
RAEDUCHigh school graduate,0.8615279961877188,0.35312344115127814,0.33205281716346613,-0.4488675259243596,0.6535272233824174,0.4493921940388117,1.651631910969783,W8,Categorical
RAEDUCCollege or above,0.924116556357896,0.34120032462209837,0.32120341092696914,-0.24569188671944023,0.8059207531873452,0.49239985006037884,1.7343453894838896,W8,Categorical
